id,parameter_set_id,source,qualifier,amount,units
11626,3241,Incentive,max,300.0000,$
11627,3242,Incentive,,25.0000,$/Unit
11628,3243,Incentive,,300.0000,$/Unit
11669,2602,Incentive,max,75.0000,"% of cost"
11677,2390,Incentive,,50.0000,%
11678,2390,Incentive,max,500.0000,$
11679,2391,Incentive,,50.0000,%
11680,2391,Incentive,max,1500.0000,$
11681,2397,Incentive,,25.0000,%
11682,2397,Incentive,max,1000.0000,$
11683,2398,Incentive,,25.0000,%
11684,2398,Incentive,max,2500.0000,$
11698,1143,Incentive,,50.0000,$/Unit
11699,1144,Incentive,min,100.0000,$/Unit
11700,1144,Incentive,max,350.0000,$
11701,1145,Incentive,,75.0000,$/Unit
11702,1146,Incentive,min,20.0000,$/Unit
11703,1146,Incentive,max,50.0000,$
11704,1147,Incentive,min,85.0000,$/Unit
11705,1147,Incentive,max,300.0000,$
11706,1148,Incentive,min,100.0000,$/Unit
11707,1148,Incentive,max,150.0000,$
11708,1149,Incentive,,8.0000,$/horsepower
11709,1150,Incentive,,50.0000,%
11760,3503,Incentive,min,15.0000,$/Unit
11761,3504,Incentive,,100.0000,$/Unit
11762,3506,Incentive,,50.0000,$/Unit
11763,3507,Incentive,,650.0000,$/Unit
11764,3508,Incentive,min,30.0000,$/Unit
11814,2855,Incentive,,50.0000,$/ton
11815,2856,Incentive,,50.0000,%
11816,2856,Incentive,,500.0000,$/kW
11840,2936,Incentive,max,75.0000,"% of cost"
11841,2937,Incentive,max,60.0000,"% of cost"
11854,1695,Incentive,min,200.0000,$/Unit
11855,1695,Incentive,max,400.0000,$
11856,1696,Incentive,,50.0000,$/Unit
11857,1697,Incentive,,250.0000,$/Unit
11858,1698,Incentive,min,1200.0000,$/Unit
11859,1698,Incentive,max,1400.0000,$
11860,1698,Incentive,max,25.0000,"% of cost"
11861,1699,Incentive,min,250.0000,$/Unit
11862,1699,Incentive,max,1000.0000,$
11873,1619,Incentive,,300.0000,$/Unit
11874,1604,Incentive,,25.0000,$/Unit
11875,1605,Incentive,,15.0000,$/Unit
11876,1644,Incentive,,200.0000,$/ton
11877,1645,Incentive,,150.0000,$/Unit
11878,1646,Incentive,,100.0000,$/Unit
11879,1647,Incentive,min,30.0000,$/Unit
11880,1647,Incentive,max,40.0000,$
11881,1648,Incentive,,50.0000,$/Unit
11882,1649,Incentive,,25.0000,$/Unit
11883,1650,Incentive,,35.0000,$/horsepower
11884,1599,Incentive,,100.0000,$/Unit
11885,1600,Incentive,,40.0000,$/horsepower
11886,1601,Incentive,,20.0000,$/Unit
11887,1602,Incentive,min,40.0000,$/Unit
11888,1602,Incentive,max,300.0000,$
11889,1603,Incentive,,15.0000,$/Unit
11916,3650,Incentive,min,0.2000,"$/kWh (15 years)"
11917,3651,Incentive,min,0.2400,"$/kWh (15 years)"
11918,3652,Incentive,,86.0000,$/MWh
12010,3663,Incentive,max,30.0000,"% of cost"
12011,3663,Incentive,max,500.0000,$
12012,3664,Incentive,max,100.0000,$
12013,3665,Incentive,,250.0000,$/Unit
12204,1956,Incentive,,40.0000,$/Unit
12215,1257,Incentive,,30.0000,$/horsepower
12216,1258,Incentive,min,50.0000,$/Unit
12217,1258,Incentive,max,500.0000,$
12218,1259,Incentive,min,1.0000,$/lamp
12219,1259,Incentive,max,15.0000,$
12244,3667,Incentive,min,10.0000,$/Unit
12245,3667,Incentive,max,350.0000,$
12246,3668,Incentive,min,15.0000,$/Unit
12247,3668,Incentive,max,60.0000,$
12252,3670,Incentive,,300.0000,$/Unit
12253,3671,Incentive,,500.0000,$/Unit
12254,3672,Incentive,min,10.0000,$/Unit
12255,3672,Incentive,max,225.0000,$
12256,3673,Incentive,min,50.0000,$/ton
12257,3674,Incentive,max,30.0000,"% of cost"
12258,3674,Incentive,max,25000.0000,$
12296,3681,Incentive,,25.0000,$/Unit
12297,3682,Incentive,,25.0000,$/Unit
12298,3683,Incentive,,25.0000,$/Unit
12299,3684,Incentive,,300.0000,$/Unit
12300,3685,Incentive,min,25.0000,$/Unit
12301,3685,Incentive,max,500.0000,
12302,3686,Incentive,max,500.0000,$
12303,3686,Incentive,min,150.0000,$/Unit
12304,3687,Incentive,,25.0000,$/Unit
12326,3699,Incentive,max,1100.0000,
12327,3700,Incentive,max,500.0000,$
12328,3701,Incentive,max,800.0000,$
12333,3702,Incentive,,900.0000,$/Unit
12334,3703,Incentive,,25.0000,$/Unit
